class_,condition,rep,lib,barcode,batch,nCounts,mito_pct, Immgen_type,sub_type,x,y,cell_id
B cells,healthy,Healthy 1,h_1_1,bc1141,round1_20151128,2401,7.289,B1a_Sp,B cells,211.689213783,332.267325304,h_1_1:bc1141
B cells,healthy,Healthy 1,h_1_1,bc1483,round1_20151128,2127,6.159,B_Fo_MLN,B cells,252.773056713,287.786152627,h_1_1:bc1483
B cells,healthy,Healthy 2,h_2_1,bc0969,round2_20151217,1463,3.349,B_Fo_Sp,B cells,227.471782076,351.094426457,h_2_1:bc0969
B cells,healthy,Healthy 1,h_1_1,bc0703,round1_20151128,2996,7.644,B_Fo_MLN,B cells,214.572647735,332.576887871,h_1_1:bc0703
B cells,healthy,Healthy 2,h_2_3,bc0391,round3_20160313,1911,9.576,B_Fo_MLN,B cells,202.824649998,264.541912417,h_2_3:bc0391
B cells,healthy,Healthy 1,h_1_1,bc0793,round1_20151128,3018,5.964,B_Fo_MLN,B cells,236.384777115,309.912778162,h_1_1:bc0793
B cells,healthy,Healthy 2,h_2_3,bc1076,round3_20160313,1354,7.459,B_Fo_MLN,B cells,177.01396789,305.522419545,h_2_3:bc1076
B cells,healthy,Healthy 2,h_2_1,bc1268,round2_20151217,1683,3.09,B_Fo_MLN,B cells,560.927440286,360.115630688,h_2_1:bc1268
B cells,healthy,Healthy 1,h_1_2,bc0593,round3_20160313,1814,5.899,B_FrE_BM,B cells,156.451001775,338.356648306,h_1_2:bc0593
B cells,healthy,Healthy 2,h_2_3,bc0294,round3_20160313,1931,8.856,B_Fo_Sp,B cells,162.32606886,329.304833512,h_2_3:bc0294
B cells,healthy,Healthy 2,h_2_1,bc1301,round2_20151217,1530,2.484,B_Fo_MLN,B cells,281.067318832,331.812845628,h_2_1:bc1301
B cells,healthy,Healthy 2,h_2_2,bc330,round3_20160313,2409,5.978,B_Fo_Sp,B cells,242.636612859,251.125332585,h_2_2:bc330
B cells,healthy,Healthy 2,h_2_3,bc0925,round3_20160313,1689,9.651,B_Fo_MLN,B cells,203.184486977,245.146436543,h_2_3:bc0925
B cells,healthy,Healthy 2,h_2_1,bc1495,round2_20151217,1058,1.134,Mo_6C-II-_Bl,B cells,616.873880801,405.389200774,h_2_1:bc1495
B cells,healthy,Healthy 2,h_2_1,bc1265,round2_20151217,1374,5.822,B_Fo_MLN,B cells,266.121667195,323.434073279,h_2_1:bc1265
B cells,healthy,Healthy 1,h_1_1,bc0747,round1_20151128,2709,6.386,B_Fo_MLN,B cells,273.281319903,334.908398018,h_1_1:bc0747
B cells,healthy,Healthy 2,h_2_3,bc1328,round3_20160313,1058,7.94,B_Fo_MLN,B cells,150.7858323,273.675366339,h_2_3:bc1328
B cells,healthy,Healthy 2,h_2_1,bc1529,round2_20151217,1175,6.723,B_Fo_MLN,B cells,407.678878121,384.296582444,h_2_1:bc1529
B cells,healthy,Healthy 2,h_2_1,bc1041,round2_20151217,1694,3.601,B_Fo_MLN,B cells,329.360555205,338.13312392,h_2_1:bc1041
B cells,healthy,Healthy 2,h_2_1,bc1454,round2_20151217,1320,3.485,B_Fo_MLN,B cells,319.971425293,357.7059318,h_2_1:bc1454
B cells,healthy,Healthy 1,h_1_1,bc1686,round1_20151128,1368,8.845,B_Fo_MLN,B cells,274.809425112,291.755890737,h_1_1:bc1686
B cells,healthy,Healthy 2,h_2_3,bc1231,round3_20160313,1666,7.263,B_Fo_Sp,B cells,168.274595369,242.721412324,h_2_3:bc1231
B cells,healthy,Healthy 1,h_1_1,bc0570,round1_20151128,4062,7.706,B1a_Sp,B cells,510.387841076,427.628958103,h_1_1:bc0570
B cells,healthy,Healthy 2,h_2_3,bc0663,round3_20160313,1669,9.227,B_T1_Sp,B cells,163.157837469,338.748481621,h_2_3:bc0663
B cells,healthy,Healthy 1,h_1_1,bc0928,round1_20151128,2897,5.35,B_Fo_MLN,B cells,243.99168373,314.097983636,h_1_1:bc0928
B cells,healthy,Healthy 2,h_2_3,bc1280,round3_20160313,1134,9.788,B_Fo_MLN,B cells,174.364462457,268.778746104,h_2_3:bc1280
B cells,healthy,Healthy 1,h_1_1,bc0392,round1_20151128,3834,6.39,B_Fo_MLN,B cells,226.465800861,320.471435083,h_1_1:bc0392
B cells,healthy,Healthy 2,h_2_2,bc655,round3_20160313,1623,9.982,B_Fo_MLN,B cells,181.676196227,291.867876289,h_2_2:bc655
B cells,healthy,Healthy 2,h_2_2,bc490,round3_20160313,1822,8.617,B_Fo_Sp,B cells,181.686544177,307.576163875,h_2_2:bc490
B cells,healthy,Healthy 2,h_2_3,bc1194,round3_20160313,1139,5.97,B_T1_Sp,B cells,169.758332492,324.868978493,h_2_3:bc1194
B cells,healthy,Healthy 2,h_2_1,bc1349,round2_20151217,1281,6.011,B_Fo_MLN,B cells,238.064345866,324.347335108,h_2_1:bc1349
B cells,healthy,Healthy 2,h_2_3,bc0528,round3_20160313,2011,9.647,B_Fo_MLN,B cells,209.39079925,262.046262744,h_2_3:bc0528
B cells,healthy,Healthy 1,h_1_1,bc1031,round1_20151128,2445,7.076,B_Fo_Sp,B cells,293.083077838,317.492941885,h_1_1:bc1031
B cells,healthy,Healthy 1,h_1_2,bc1243,round3_20160313,1440,6.736,B_Fo_Sp,B cells,171.269318951,271.561220964,h_1_2:bc1243
B cells,healthy,Healthy 2,h_2_1,bc0824,round2_20151217,2216,2.211,B_Fo_MLN,B cells,249.688127232,378.944806128,h_2_1:bc0824
B cells,healthy,Healthy 2,h_2_1,bc1131,round2_20151217,1355,4.428,B_Fo_MLN,B cells,334.984140484,344.474830421,h_2_1:bc1131
B cells,healthy,Healthy 2,h_2_3,bc0844,round3_20160313,1497,8.35,B_Fo_MLN,B cells,201.840269941,290.644962622,h_2_3:bc0844
B cells,healthy,Healthy 2,h_2_1,bc0456,round2_20151217,1878,2.343,B_Fo_MLN,B cells,287.638407954,266.053846888,h_2_1:bc0456
B cells,healthy,Healthy 2,h_2_1,bc0901,round2_20151217,1960,4.286,B_Fo_MLN,B cells,226.387742497,293.30576614,h_2_1:bc0901
B cells,healthy,Healthy 1,h_1_1,bc0393,round1_20151128,3601,6.082,B_Fo_Sp,B cells,238.119566312,322.932649329,h_1_1:bc0393
B cells,healthy,Healthy 1,h_1_1,bc0594,round1_20151128,2894,6.738,B_Fo_MLN,B cells,223.718043192,340.843756772,h_1_1:bc0594
B cells,healthy,Healthy 1,h_1_1,bc1174,round1_20151128,2555,9.98,B_FrF_BM,B cells,205.814689395,318.144774059,h_1_1:bc1174
B cells,healthy,Healthy 1,h_1_1,bc0864,round1_20151128,3379,5.445,B_Fo_MLN,B cells,201.750312028,340.650471432,h_1_1:bc0864
B cells,healthy,Healthy 2,h_2_1,bc1461,round2_20151217,1104,5.797,B_FrF_BM,B cells,399.377119313,96.8519698908,h_2_1:bc1461
B cells,healthy,Healthy 1,h_1_1,bc0998,round1_20151128,3256,4.853,B1b_PC,B cells,266.953415368,332.619406232,h_1_1:bc0998
B cells,healthy,Healthy 1,h_1_1,bc0660,round1_20151128,2932,5.286,B_FrF_BM,B cells,249.494920563,342.424336642,h_1_1:bc0660
B cells,healthy,Healthy 1,h_1_1,bc1193,round1_20151128,2302,7.602,B_Fo_MLN,B cells,215.307777179,350.734990966,h_1_1:bc1193
B cells,healthy,Healthy 2,h_2_3,bc1293,round3_20160313,1025,9.268,B_Fo_MLN,B cells,195.332293192,301.355190348,h_2_3:bc1293
B cells,healthy,Healthy 1,h_1_1,bc0720,round1_20151128,3966,6.228,B_Fo_MLN,B cells,227.253427065,309.433103949,h_1_1:bc0720
B cells,healthy,Healthy 2,h_2_2,bc391,round3_20160313,2466,7.745,B_Fo_MLN,B cells,175.386466184,296.055145692,h_2_2:bc391
B cells,healthy,Healthy 2,h_2_1,bc0972,round2_20151217,2036,3.536,B_Fo_MLN,B cells,288.093310236,368.298980573,h_2_1:bc0972
B cells,healthy,Healthy 2,h_2_3,bc1160,round3_20160313,1415,8.693,B_Fo_MLN,B cells,269.353582041,277.731208271,h_2_3:bc1160
B cells,healthy,Healthy 1,h_1_1,bc0850,round1_20151128,4130,5.714,B_Fo_MLN,B cells,273.627075184,332.161586223,h_1_1:bc0850
B cells,healthy,Healthy 2,h_2_2,bc762,round3_20160313,1048,7.252,B_Fo_MLN,B cells,180.487762924,305.276628482,h_2_2:bc762
B cells,healthy,Healthy 2,h_2_3,bc0938,round3_20160313,2044,9.785,B_Fo_MLN,B cells,192.089955641,311.360603756,h_2_3:bc0938
B cells,healthy,Healthy 2,h_2_2,bc263,round3_20160313,3112,9.961,B_Fo_MLN,B cells,192.646426149,306.42233466,h_2_2:bc263
B cells,healthy,Healthy 2,h_2_1,bc0938,round2_20151217,1369,3.287,B_Fo_MLN,B cells,308.675590611,303.148848476,h_2_1:bc0938
B cells,healthy,Healthy 2,h_2_1,bc0920,round2_20151217,1884,0.955,B1a_Sp,B cells,295.373100427,335.438182397,h_2_1:bc0920
B cells,healthy,Healthy 2,h_2_1,bc0831,round2_20151217,1654,3.144,B_T1_Sp,B cells,186.019578027,367.428241499,h_2_1:bc0831
B cells,healthy,Healthy 2,h_2_3,bc1374,round3_20160313,1194,7.621,B_Fo_MLN,B cells,200.138825407,292.45461839,h_2_3:bc1374
B cells,healthy,Healthy 2,h_2_1,bc1406,round2_20151217,1182,4.399,B_Fo_MLN,B cells,261.509246092,189.723914902,h_2_1:bc1406
B cells,healthy,Healthy 2,h_2_2,bc235,round3_20160313,2102,7.231,B_Fo_MLN,B cells,198.952743335,270.545049777,h_2_2:bc235
B cells,healthy,Healthy 2,h_2_1,bc0531,round2_20151217,2016,5.258,B_FrE_BM,B cells,207.215715997,376.674073395,h_2_1:bc0531
B cells,healthy,Healthy 1,h_1_2,bc1117,round3_20160313,1211,9.001,B_Fo_MLN,B cells,250.788348561,248.320370242,h_1_2:bc1117
B cells,healthy,Healthy 1,h_1_1,bc1457,round1_20151128,2637,5.954,B_T1_Sp,B cells,181.304600169,361.829558631,h_1_1:bc1457
B cells,healthy,Healthy 1,h_1_1,bc0507,round1_20151128,3600,7,B_Fo_MLN,B cells,223.182581252,353.035176316,h_1_1:bc0507
B cells,healthy,Healthy 2,h_2_1,bc1347,round2_20151217,1220,1.23,B_Fo_MLN,B cells,324.54840893,373.256720798,h_2_1:bc1347
B cells,healthy,Healthy 1,h_1_1,bc1068,round1_20151128,2775,7.856,B_Fo_MLN,B cells,233.935077092,330.994772184,h_1_1:bc1068
B cells,healthy,Healthy 1,h_1_1,bc0628,round1_20151128,2947,3.733,B_Fo_MLN,B cells,282.917744927,328.040090188,h_1_1:bc0628
B cells,healthy,Healthy 2,h_2_1,bc0895,round2_20151217,1824,2.577,B_Fo_MLN,B cells,324.187732124,286.954316826,h_2_1:bc0895
B cells,healthy,Healthy 2,h_2_1,bc1425,round2_20151217,1407,2.701,B_Fo_MLN,B cells,322.210529449,369.242533454,h_2_1:bc1425
B cells,healthy,Healthy 2,h_2_1,bc1356,round2_20151217,1200,2.667,B_Fo_MLN,B cells,252.835962582,296.048695332,h_2_1:bc1356
B cells,healthy,Healthy 2,h_2_1,bc1458,round2_20151217,1436,2.925,B1a_Sp,B cells,322.668064339,165.118274317,h_2_1:bc1458
B cells,healthy,Healthy 2,h_2_1,bc1286,round2_20151217,1328,5.271,B1a_PC,B cells,292.685416473,329.25799427,h_2_1:bc1286
B cells,healthy,Healthy 2,h_2_2,bc609,round3_20160313,1363,8.364,B_Fo_MLN,B cells,208.865506605,288.593441326,h_2_2:bc609
B cells,healthy,Healthy 2,h_2_2,bc110,round3_20160313,2561,7.536,B_Fo_MLN,B cells,195.539270992,284.652668033,h_2_2:bc110
B cells,healthy,Healthy 1,h_1_1,bc0914,round1_20151128,3251,6.09,B_Fo_MLN,B cells,217.936655124,341.88484146,h_1_1:bc0914
B cells,healthy,Healthy 2,h_2_1,bc1309,round2_20151217,1217,5.505,B1b_PC,B cells,195.356913922,328.030184539,h_2_1:bc1309
B cells,healthy,Healthy 1,h_1_1,bc1590,round1_20151128,1696,7.311,B_Fo_MLN,B cells,226.41520812,312.486371004,h_1_1:bc1590
B cells,healthy,Healthy 2,h_2_1,bc1370,round2_20151217,1202,2.413,B_FrF_BM,B cells,242.367414623,384.342340789,h_2_1:bc1370
B cells,healthy,Healthy 2,h_2_1,bc1264,round2_20151217,1328,1.355,B1a_Sp,B cells,702.025844115,297.617755719,h_2_1:bc1264
B cells,healthy,Healthy 2,h_2_1,bc1266,round2_20151217,1199,2.836,B_Fo_MLN,B cells,267.248719488,369.892103771,h_2_1:bc1266
B cells,healthy,Healthy 2,h_2_1,bc1207,round2_20151217,1698,3.534,B_Fo_MLN,B cells,392.336790296,258.301494635,h_2_1:bc1207
B cells,healthy,Healthy 1,h_1_1,bc1312,round1_20151128,2268,4.145,B_Fo_MLN,B cells,243.297955831,333.3307659,h_1_1:bc1312
B cells,healthy,Healthy 2,h_2_3,bc1274,round3_20160313,1112,8.813,B_Fo_MLN,B cells,194.423352753,281.40915508,h_2_3:bc1274
B cells,healthy,Healthy 2,h_2_1,bc0981,round2_20151217,1323,7.105,B1b_PC,B cells,411.026470262,292.139469903,h_2_1:bc0981
B cells,healthy,Healthy 1,h_1_1,bc0162,round1_20151128,4032,6.845,B_Fo_Sp,B cells,228.032344832,347.300300614,h_1_1:bc0162
B cells,healthy,Healthy 2,h_2_1,bc1324,round2_20151217,1565,2.173,B_Fo_MLN,B cells,307.360062087,345.631178424,h_2_1:bc1324
B cells,healthy,Healthy 2,h_2_1,bc1377,round2_20151217,1243,2.092,B_Fo_Sp,B cells,235.960460671,383.804046392,h_2_1:bc1377
B cells,healthy,Healthy 1,h_1_1,bc0699,round1_20151128,2895,7.116,B_Fo_MLN,B cells,274.462355102,353.221244153,h_1_1:bc0699
B cells,healthy,Healthy 2,h_2_1,bc1374,round2_20151217,1446,2.075,B_Fo_MLN,B cells,290.140863981,352.300473129,h_2_1:bc1374
B cells,healthy,Healthy 1,h_1_1,bc1050,round1_20151128,2617,7.681,B_Fo_MLN,B cells,240.161689024,347.019928867,h_1_1:bc1050
B cells,healthy,Healthy 1,h_1_2,bc1256,round3_20160313,1030,9.417,B_Fo_MLN,B cells,191.005078291,277.307658466,h_1_2:bc1256
B cells,healthy,Healthy 2,h_2_1,bc1280,round2_20151217,1162,7.315,B_Fo_Sp,B cells,203.101015915,342.305011176,h_2_1:bc1280
B cells,healthy,Healthy 1,h_1_1,bc1542,round1_20151128,2106,3.989,B_T1_Sp,B cells,177.675715292,355.709520617,h_1_1:bc1542
B cells,healthy,Healthy 2,h_2_2,bc471,round3_20160313,1584,8.586,B_Fo_MLN,B cells,192.034892104,284.101386452,h_2_2:bc471
B cells,healthy,Healthy 2,h_2_1,bc1010,round2_20151217,2293,2.791,B_Fo_MLN,B cells,287.401743181,361.022758194,h_2_1:bc1010
B cells,healthy,Healthy 2,h_2_3,bc1177,round3_20160313,1569,9.433,B_Fo_Sp,B cells,182.647336335,264.774756667,h_2_3:bc1177
B cells,healthy,Healthy 2,h_2_2,bc549,round3_20160313,1722,7.84,B_Fo_MLN,B cells,161.087019179,338.261961797,h_2_2:bc549
B cells,healthy,Healthy 1,h_1_1,bc1020,round1_20151128,2730,5.824,B_Fo_MLN,B cells,271.160442932,278.463227423,h_1_1:bc1020
B cells,healthy,Healthy 1,h_1_2,bc1136,round3_20160313,1063,7.996,B_Fo_Sp,B cells,186.96055958,322.635247875,h_1_2:bc1136
B cells,healthy,Healthy 1,h_1_1,bc1207,round1_20151128,2477,4.199,B_Fo_Sp,B cells,249.290198948,311.506212797,h_1_1:bc1207
B cells,healthy,Healthy 2,h_2_1,bc0656,round2_20151217,2014,1.986,B_FrF_BM,B cells,298.961717583,361.763615524,h_2_1:bc0656
B cells,healthy,Healthy 2,h_2_1,bc1054,round2_20151217,1727,2.49,B_Fo_MLN,B cells,272.410127455,306.49874659,h_2_1:bc1054
B cells,healthy,Healthy 1,h_1_1,bc1647,round1_20151128,1543,4.083,B_Fo_MLN,B cells,274.158813328,350.976841359,h_1_1:bc1647
B cells,healthy,Healthy 2,h_2_1,bc1442,round2_20151217,1364,2.053,B_Fo_MLN,B cells,198.983321247,369.004013092,h_2_1:bc1442
B cells,healthy,Healthy 2,h_2_3,bc0617,round3_20160313,1601,9.432,B_Fo_MLN,B cells,228.772180207,257.010734845,h_2_3:bc0617
B cells,healthy,Healthy 2,h_2_1,bc1171,round2_20151217,1483,2.158,B_Fo_MLN,B cells,369.956554469,381.725239297,h_2_1:bc1171
B cells,healthy,Healthy 1,h_1_1,bc1045,round1_20151128,2762,5.757,B_Fo_MLN,B cells,228.23791501,354.047204705,h_1_1:bc1045
B cells,healthy,Healthy 2,h_2_1,bc1341,round2_20151217,1666,4.862,B_Fo_MLN,B cells,200.526498014,310.362941788,h_2_1:bc1341
B cells,healthy,Healthy 2,h_2_1,bc1209,round2_20151217,1808,4.314,B1a_PC,B cells,284.126076699,359.092575962,h_2_1:bc1209
B cells,healthy,Healthy 1,h_1_2,bc1119,round3_20160313,1292,6.037,B_Fo_MLN,B cells,206.71115978,315.299818532,h_1_2:bc1119
B cells,healthy,Healthy 1,h_1_1,bc0305,round1_20151128,4654,7.993,B1a_Sp,B cells,248.528302386,319.678756185,h_1_1:bc0305
B cells,healthy,Healthy 1,h_1_1,bc1242,round1_20151128,2514,8.115,B_Fo_MLN,B cells,229.894348183,328.33992288,h_1_1:bc1242
B cells,healthy,Healthy 2,h_2_1,bc1099,round2_20151217,1531,1.568,B_Fo_MLN,B cells,358.554317575,307.054267028,h_2_1:bc1099
B cells,healthy,Healthy 1,h_1_1,bc1570,round1_20151128,2389,6.99,B_Fo_MLN,B cells,236.646212174,338.170448487,h_1_1:bc1570
B cells,healthy,Healthy 2,h_2_3,bc1084,round3_20160313,1336,9.731,B_Fo_MLN,B cells,184.218242308,264.418370809,h_2_3:bc1084
B cells,healthy,Healthy 2,h_2_1,bc1219,round2_20151217,1565,2.62,B1b_PC,B cells,296.190034289,328.487041394,h_2_1:bc1219
B cells,healthy,Healthy 2,h_2_1,bc1082,round2_20151217,1752,2.568,B_Fo_MLN,B cells,318.653653877,340.990052621,h_2_1:bc1082
B cells,healthy,Healthy 2,h_2_2,bc701,round3_20160313,1879,7.398,B_Fo_MLN,B cells,191.962955601,298.778476758,h_2_2:bc701
B cells,healthy,Healthy 1,h_1_2,bc1131,round3_20160313,1223,9.158,B_Fo_MLN,B cells,168.551045048,293.019277932,h_1_2:bc1131
B cells,healthy,Healthy 2,h_2_3,bc0589,round3_20160313,2393,9.068,B_Fo_MLN,B cells,185.125866579,281.626939694,h_2_3:bc0589
B cells,healthy,Healthy 2,h_2_1,bc0943,round2_20151217,1496,1.604,B1a_Sp,B cells,260.872388006,386.585426206,h_2_1:bc0943
B cells,healthy,Healthy 1,h_1_1,bc1374,round1_20151128,1912,5.492,B_Fo_MLN,B cells,218.597955222,333.187859233,h_1_1:bc1374
B cells,healthy,Healthy 1,h_1_1,bc1411,round1_20151128,2257,6.513,B_Fo_MLN,B cells,234.571790672,318.127341128,h_1_1:bc1411
B cells,healthy,Healthy 1,h_1_1,bc1667,round1_20151128,1740,4.425,B_Fo_MLN,B cells,233.386882877,336.563864661,h_1_1:bc1667
B cells,healthy,Healthy 2,h_2_2,bc556,round3_20160313,1408,9.943,B_Fo_MLN,B cells,203.000731336,278.736976405,h_2_2:bc556
B cells,healthy,Healthy 2,h_2_2,bc610,round3_20160313,1611,9.87,B_Fo_Sp,B cells,203.080237831,247.27713076,h_2_2:bc610
B cells,healthy,Healthy 1,h_1_1,bc1403,round1_20151128,2017,6.445,B_Fo_Sp,B cells,240.452617385,320.819926517,h_1_1:bc1403
B cells,healthy,Healthy 2,h_2_3,bc0911,round3_20160313,1543,8.49,B_Fo_Sp,B cells,183.613051889,254.239730881,h_2_3:bc0911
B cells,healthy,Healthy 1,h_1_1,bc0827,round1_20151128,2964,0.641,B_MZ_Sp,B cells,335.754883921,330.811969744,h_1_1:bc0827
B cells,healthy,Healthy 1,h_1_1,bc0698,round1_20151128,3226,6.045,B_Fo_MLN,B cells,224.042519788,327.993667776,h_1_1:bc0698
B cells,healthy,Healthy 1,h_1_1,bc0984,round1_20151128,3156,4.816,B_Fo_MLN,B cells,254.185388487,334.901106145,h_1_1:bc0984
B cells,healthy,Healthy 2,h_2_3,bc0754,round3_20160313,1798,7.564,B_Fo_MLN,B cells,183.219995726,281.282751474,h_2_3:bc0754
B cells,healthy,Healthy 1,h_1_1,bc0269,round1_20151128,4379,9.157,B_Fo_MLN,B cells,224.520709802,325.175600763,h_1_1:bc0269
B cells,healthy,Healthy 2,h_2_1,bc0596,round2_20151217,2794,5.977,B_Fo_MLN,B cells,289.213648872,380.789077189,h_2_1:bc0596
B cells,healthy,Healthy 2,h_2_1,bc0797,round2_20151217,2243,3.299,B_Fo_MLN,B cells,210.819793999,376.542885406,h_2_1:bc0797
B cells,healthy,Healthy 2,h_2_3,bc1198,round3_20160313,1256,8.201,B_Fo_MLN,B cells,254.731667813,275.50627154,h_2_3:bc1198
B cells,healthy,Healthy 2,h_2_1,bc1150,round2_20151217,1340,4.403,B_Fo_MLN,B cells,227.255482467,323.407307149,h_2_1:bc1150
B cells,healthy,Healthy 2,h_2_1,bc1242,round2_20151217,1333,4.801,B_Fo_MLN,B cells,234.019588496,366.547524061,h_2_1:bc1242
B cells,healthy,Healthy 1,h_1_1,bc1360,round1_20151128,2327,4.383,B_Fo_MLN,B cells,222.571608182,323.05916069,h_1_1:bc1360
B cells,healthy,Healthy 2,h_2_1,bc1325,round2_20151217,1789,3.522,B1a_Sp,B cells,470.353283379,456.523263585,h_2_1:bc1325
B cells,healthy,Healthy 2,h_2_2,bc386,round3_20160313,1725,7.594,B_Fo_MLN,B cells,206.199354406,319.436050705,h_2_2:bc386
B cells,healthy,Healthy 2,h_2_1,bc1450,round2_20151217,1330,3.459,B_FrF_BM,B cells,268.983774168,391.277117018,h_2_1:bc1450
B cells,healthy,Healthy 2,h_2_1,bc1381,round2_20151217,1322,2.042,B_Fo_MLN,B cells,494.539387174,317.300584928,h_2_1:bc1381
B cells,healthy,Healthy 1,h_1_1,bc0423,round1_20151128,3417,7.024,B_Fo_MLN,B cells,274.131290399,344.874418901,h_1_1:bc0423
B cells,healthy,Healthy 2,h_2_3,bc1290,round3_20160313,1158,8.377,B_Fo_Sp,B cells,222.491528386,290.313897217,h_2_3:bc1290
B cells,healthy,Healthy 1,h_1_2,bc0531,round3_20160313,1654,9.432,B_Fo_MLN,B cells,222.871834193,314.363593501,h_1_2:bc0531
B cells,healthy,Healthy 2,h_2_3,bc0998,round3_20160313,1616,8.478,B_Fo_MLN,B cells,204.813609153,253.481198502,h_2_3:bc0998
B cells,healthy,Healthy 1,h_1_1,bc1539,round1_20151128,2013,5.812,B_Fo_Sp,B cells,175.016257886,261.265833596,h_1_1:bc1539
B cells,healthy,Healthy 2,h_2_3,bc0980,round3_20160313,1511,9.993,B_Fo_MLN,B cells,185.133661767,278.993904977,h_2_3:bc0980
B cells,healthy,Healthy 2,h_2_1,bc1088,round2_20151217,1361,4.629,B_Fo_MLN,B cells,200.224963168,343.145214918,h_2_1:bc1088
B cells,healthy,Healthy 2,h_2_3,bc1388,round3_20160313,1079,6.395,B_Fo_MLN,B cells,152.417114404,283.129457824,h_2_3:bc1388
B cells,healthy,Healthy 2,h_2_1,bc1220,round2_20151217,1433,1.396,B_T1_Sp,B cells,222.037216653,373.99854529,h_2_1:bc1220
B cells,healthy,Healthy 1,h_1_1,bc1191,round1_20151128,1994,4.664,B_FrF_BM,B cells,238.857900676,303.602106108,h_1_1:bc1191
B cells,healthy,Healthy 1,h_1_2,bc0742,round3_20160313,1405,9.466,B_Fo_MLN,B cells,239.912929109,312.968277174,h_1_2:bc0742
B cells,healthy,Healthy 1,h_1_1,bc1373,round1_20151128,2058,4.908,B_Fo_MLN,B cells,290.751565955,338.482192821,h_1_1:bc1373
B cells,healthy,Healthy 2,h_2_2,bc366,round3_20160313,2269,7.448,B_Fo_Sp,B cells,232.398461256,252.459155327,h_2_2:bc366
B cells,healthy,Healthy 2,h_2_1,bc1415,round2_20151217,1183,2.451,B_FrF_BM,B cells,206.025793962,357.575887092,h_2_1:bc1415
B cells,healthy,Healthy 2,h_2_1,bc0924,round2_20151217,1749,3.659,B1a_Sp,B cells,250.144300976,323.843393889,h_2_1:bc0924
B cells,healthy,Healthy 2,h_2_1,bc1297,round2_20151217,1352,3.254,B_Fo_MLN,B cells,311.447801706,324.669067246,h_2_1:bc1297
B cells,healthy,Healthy 2,h_2_1,bc1486,round2_20151217,1283,1.715,B_Fo_MLN,B cells,227.36171742,377.754733308,h_2_1:bc1486
B cells,healthy,Healthy 1,h_1_2,bc1200,round3_20160313,1083,7.664,B_Fo_MLN,B cells,182.504360083,277.886472088,h_1_2:bc1200
B cells,healthy,Healthy 2,h_2_3,bc1249,round3_20160313,1209,7.775,B_Fo_Sp,B cells,189.730040838,284.321232723,h_2_3:bc1249
B cells,healthy,Healthy 1,h_1_1,bc1630,round1_20151128,1410,3.121,B_Fo_MLN,B cells,205.353040202,269.981870024,h_1_1:bc1630
B cells,healthy,Healthy 2,h_2_2,bc691,round3_20160313,1351,7.106,B_Fo_Sp,B cells,163.833738575,317.737643505,h_2_2:bc691
B cells,healthy,Healthy 1,h_1_1,bc1164,round1_20151128,2261,3.759,B_Fo_MLN,B cells,200.517250078,331.493622279,h_1_1:bc1164
